printed_page,pdf_page,lang,topic,serial,source,field,extraction,other,issue
13,65,Punjabi,Poetry,91,davis,author,"Kadir Yar, M.",Parma Nand,value differs
14,66,Punjabi,Poetry,92,davis,reg,448,,value differs
14,66,Punjabi,Poetry,93,davis,printer,Siri Gurmat Press,Sri Garmat Press,value differs
14,66,Punjabi,Poetry,98,davis,printer,Vidya Sagar Press,Vidva Sajar Press,value differs
15,67,Punjabi,Poetry,105,davis,author,"Partap Singh, Bhai",,value differs
16,68,Punjabi,Poetry,114,davis,reg,555,556,value differs
16,68,Punjabi,Poetry,115,davis,reg,686,?,value differs
18,70,Punjabi,Poetry,125,davis,reg,455,433,value differs
18,70,Punjabi,Poetry,127,davis,copies,4000,3000,value differs
18,70,Punjabi,Poetry,129,davis,reg,675,623,value differs
18,70,Punjabi,Poetry,130,davis,reg,449,440,value differs
19,71,Punjabi,Poetry,139,davis,reg,385,383,value differs
20,72,Punjabi,Poetry,147,davis,match,,,entry not found in Davis sheet
21,73,Punjabi,Religion,8,davis,copies,125,525,value differs
22,74,Sindhi,Poetry,6,davis,match,,,entry not found in Davis sheet
23,75,Multani,Miscellaneous,1,davis,author,"Nazar Husain, Maulavi","Nasar Husain, Maulvi",value differs
23,75,Pushto,Poetry,3,davis,author,,Abdar Rahman and Abdul Hamid,value differs
23,75,Kashmiri,Poetry,4,davis,reg,578,375,value differs
24,76,Sanskrit,Poetry,1,davis,reg,462,402,value differs
26,78,Urdu,Language,2,davis,copies,3000,2000,value differs
26,78,Urdu,Law,3,davis,reg,435,375,value differs
29,81,Urdu,Miscellaneous,61,davis,printer,Hindustan Steam Press,,value differs
29,81,Urdu,Miscellaneous,63,davis,reg,703,708,value differs
29,81,Urdu,Miscellaneous,65,davis,reg,646,648,value differs
31,83,Urdu,Philosophy,3,davis,reg,645,648,value differs
32,84,Urdu,Poetry,25,davis,reg,484,,value differs
32,84,Urdu,Poetry,26,davis,reg,460,,value differs
32,84,Urdu,Poetry,27,davis,reg,446,,value differs
32,84,Urdu,Poetry,27,davis,copies,100,500,value differs
32,84,Urdu,Poetry,28,davis,reg,393,,value differs
32,84,Urdu,Poetry,29,davis,reg,466,456,value differs
32,84,Urdu,Poetry,31,davis,reg,453,452,value differs
33,85,Urdu,Religion,25,davis,match,,,entry not found in Davis sheet
33,85,Urdu,Poetry,34,davis,author,,"xxx xxx, M",value differs
33,85,Urdu,Poetry,35,davis,author,"Tilok Chand, Munshi","xxx xxx, M",value differs
38,90,Bilingual (Arabic and Persian),Miscellaneous,1,davis,author,,"Sayad Ali Hairi, Shia theologian of Lahore",value differs
38,90,Bilingual (Arabic and Punjabi),Religion,1,davis,copies,500,100,value differs
38,90,Bilingual (Arabic and Punjabi),Religion,1,davis,author,,Itaji Nur Hussain,value differs
39,91,Bilingual (Arabic and Urdu),Religion,6,davis,reg,485,,value differs
39,91,Bilingual (Arabic and Urdu),Religion,7,davis,reg,486,,value differs
39,91,Bilingual (Arabic and Urdu),Religion,8,davis,page,39,20,value differs
39,91,Bilingual (Arabic and Urdu),Religion,8,davis,copies,1300,1000,value differs
39,91,Bilingual (Arabic and Urdu),Religion,8,davis,author,"Ahmad Hasan, Maulvi, Sayad","Raushan Din, Maulvi",value differs
39,91,Bilingual (Arabic and Urdu),Religion,9,davis,reg,488,,value differs
39,91,Bilingual (Arabic and Urdu),Religion,9,davis,copies,1300,1500,value differs
39,91,Bilingual (Arabic and Urdu),Religion,10,davis,reg,489,,value differs
39,91,Bilingual (Arabic and Urdu),Religion,10,davis,copies,1300,1500,value differs
39,91,Bilingual (Arabic and Urdu),Religion,11,davis,reg,490,,value differs
39,91,Bilingual (Arabic and Urdu),Religion,11,davis,copies,1300,1500,value differs
39,91,Bilingual (Arabic and Urdu),Religion,12,davis,reg,491,,value differs
39,91,Bilingual (Arabic and Urdu),Religion,12,davis,pp,84 (sum 84),144,pagination differs
39,91,Bilingual (Arabic and Urdu),Religion,13,davis,reg,496,,value differs
39,91,Bilingual (Arabic and Urdu),Religion,13,davis,copies,1300,1500,value differs
39,91,Bilingual (Arabic and Urdu),Religion,14,davis,reg,407,,value differs
39,91,Bilingual (Arabic and Urdu),Religion,14,davis,copies,1300,1000,value differs
39,91,Bilingual (Arabic and Urdu),Religion,14,davis,printer,Afzal-ul-Matabe Press,Dipak Rajput Press,value differs
39,91,Bilingual (Arabic and Urdu),Religion,14,davis,author,"Ahmad Hasan, Maulvi, Sayad",,value differs
39,91,Bilingual (Arabic and Urdu),Religion,15,davis,match,,,entry not found in Davis sheet
40,92,Bilingual (Hindi and Sanskrit),Philosophy,1,davis,author,,Swami Tej Nath,value differs
40,92,Bilingual (Hindi and Sanskrit),Religion,8,davis,author,,Pandit Raja Ram,value differs
40,92,Bilingual (Hindi and Sanskrit),Religion,9,davis,author,,Pandit Raja Ram,value differs
40,92,Bilingual (Hindi and Sanskrit),Religion,10,davis,reg,425,,value differs
40,92,Bilingual (Hindi and Sanskrit),Religion,10,davis,author,,Raj Bahadur Shiw Nath,value differs
40,92,Bilingual (Hindi and Sanskrit),Religion,11,davis,reg,427,,value differs
40,92,Bilingual (Hindi and Sanskrit),Religion,11,davis,author,,Raj Bahadur Shiw Nath,value differs
40,92,Bilingual (Arabic and Urdu),Religion,16,davis,reg,569,,value differs
40,92,Bilingual (Arabic and Urdu),Religion,16,davis,pp,76 (sum 76),16,pagination differs
40,92,Bilingual (Arabic and Urdu),Religion,17,davis,reg,478,,value differs
40,92,Bilingual (Arabic and Urdu),Religion,17,davis,author,,M. Muhammad Din,value differs
40,92,Bilingual (Arabic and Urdu),Religion,18,davis,author,,M. Muhammad Din,value differs
41,93,Bilingual (Hindi and Urdu),Religion,1,davis,match,,,entry not found in Davis sheet
41,93,"Trilingual (Arabic, Urdu and Punjabi)",Religion,1,davis,match,,,entry not found in Davis sheet
41,93,English,Periodicals (Miscellaneous),1,davis,match,,,entry not found in Davis sheet
41,93,English,Periodicals (Law),9,davis,match,,,entry not found in Davis sheet
41,93,English,Periodicals (Law),10,davis,match,,,entry not found in Davis sheet
41,93,English,Periodicals (Law),11,davis,match,,,entry not found in Davis sheet
41,93,English,Periodicals (Law),12,davis,match,,,entry not found in Davis sheet
42,94,English,Periodicals (Miscellaneous),2,davis,match,,,entry not found in Davis sheet
42,94,Hindi,Periodicals (Miscellaneous),2,davis,match,,,entry not found in Davis sheet
42,94,English,Periodicals (Miscellaneous),3,davis,match,,,entry not found in Davis sheet
42,94,Punjabi,Periodicals (Miscellaneous),4,davis,match,,,entry not found in Davis sheet
42,94,Punjabi,Periodicals (Miscellaneous),6,davis,author,"Takht Singh, B. (editor)",Punjabi Bhain Magazine,value differs
43,95,Urdu,Periodicals (History),1,davis,author,"Lala Bulaqi Das, Proprietor, Muir Press (editor and publisher)",,value differs
43,95,Urdu,Periodicals (Miscellaneous),3,davis,match,,,entry not found in Davis sheet
43,95,Urdu,Periodicals (Law),10,davis,author,"Ganpat Rai, Mr., Bar-at-Law (editor)",,value differs
