printed_page,pdf_page,lang,topic,serial,source,field,extraction,other,issue
34,227,Urdu,Miscellaneous,21,flag,pp_verbatim,,,"printed '4o', likely 40"
35,228,Urdu,Miscellaneous,32,flag,gloss,,,printed '191o' with letter o
35,228,Urdu,Miscellaneous,34,flag,copies,,,"reads '4C0', likely 400"
36,229,Urdu,Miscellaneous,36,flag,section,,,header printed 'MISCELLANEDUS' (typo in original)
36,229,Urdu,Miscellaneous,37,flag,method,,,printed 'iitho.' (typo for litho.)
36,229,Urdu,Miscellaneous,39,flag,printer_verbatim,,,faint print 'Rcze Bazar'
37,230,Urdu,Poetry,4,flag,title,,,native script partly illegible
38,231,Urdu,Poetry,10,flag,printer,,,'Stsam' likely 'Steam' misprint
38,231,Urdu,Poetry,14,flag,copies,,,"printed '1.000', interpreted as 1000"
38,231,Urdu,Poetry,15,flag,copies,,,"printed '2,0C0', read as 2000"
39,232,Urdu,Religion,1,flag,gloss,,,typo 'towaads' as printed
39,232,Urdu,Religion,4,flag,printer,,,'Rajeshwai' spelling uncertain
39,232,Urdu,Religion,5,flag,price,,,'anuas' as printed
39,232,Urdu,Religion,6,flag,pcity,,,'Amsitsar' as printed
39,232,Urdu,Religion,6,flag,gloss,,,'direcied' as printed
39,232,Urdu,Religion,7,flag,price,,,'Prce' as printed
40,233,Urdu,Religion,13,flag,serial,,,"partly obscured, reads 13"
40,233,Urdu,Religion,13,flag,pubcity,,,Peshawar reading uncertain
43,236,Hindi and Sanskrit,Religion,4,flag,serial,,,serial number faint/inferred
43,236,Hindi and Sanskrit,Religion,5,flag,pp_verbatim,,,"'2350' printed at left of line, split pagination reading"
44,238,Bilingual (Persian and Urdu),Language,1,flag,copyright,,,right margin degraded
10,203,Punjabi,Medicine,1,internal,reg,159,,registration no. appears 2x in quarter
12,205,Punjabi,Miscellaneous,14,internal,reg,159,,registration no. appears 2x in quarter
28,221,Urdu,Drama,3,internal,reg,28,,registration no. appears 2x in quarter
36,229,Urdu,Miscellaneous,36,internal,reg,28,,registration no. appears 2x in quarter
29,222,Urdu,Fiction,9,internal,reg,321,,registration no. appears 2x in quarter
32,225,Urdu,Miscellaneous,8,internal,reg,321,,registration no. appears 2x in quarter
31,224,Urdu,Miscellaneous,1,internal,reg,315,,registration no. appears 2x in quarter
39,232,Urdu,Religion,5,internal,reg,315,,registration no. appears 2x in quarter
2,195,English,Miscellaneous,1,internal,serial,4->6,,non-consecutive serials in English-Miscellaneous
4,197,Hindi,Miscellaneous,1,internal,serial,4->8,,non-consecutive serials in Hindi-Miscellaneous
