printed_page,pdf_page,lang,topic,serial,source,field,extraction,other,issue
34,388,Urdu,Miscellaneous,198,flag,date,,,month illegible in brackets
34,388,Urdu,Miscellaneous,202,flag,copies,,,reads 80° / 800 uncertain
34,388,Urdu,Miscellaneous,204,flag,reg,,,registration number partly illegible/superscript
35,389,Urdu,Miscellaneous,205,flag,serial,,,"digits obscured, read as 205"
35,389,Urdu,Miscellaneous,206,flag,serial,,,"digits obscured, read as 206"
35,389,Urdu,Miscellaneous,207,flag,serial,,,"digits partly obscured, read as 207"
35,389,Urdu,Miscellaneous,209,flag,serial,,,read as 209
35,389,Urdu,Miscellaneous,212,flag,serial,,,read as 212
36,390,Urdu,Miscellaneous,217,flag,publisher,,,printed 'Sescretary' - possibly Secretary
37,391,Urdu,Miscellaneous,211,flag,serial,,,"printed serial partly obscured, read as 211"
37,391,Urdu,Miscellaneous,222,flag,serial,,,"serial digits obscured, read as 222"
37,391,Urdu,Miscellaneous,223,flag,serial,,,"serial digits obscured, read as 223"
37,391,Urdu,Miscellaneous,225,flag,serial,,,"serial obscured, read as 225"
37,391,Urdu,Miscellaneous,225,flag,reg,,,"printed as '13 35', read 1335"
37,391,Urdu,Miscellaneous,226,flag,serial,,,"serial obscured, read as 226"
37,391,Urdu,Miscellaneous,227,flag,serial,,,"serial obscured, read as 227"
39,393,Urdu,Poetry,71,flag,date,,,printed 1912 in a 1911 quarter catalogue
39,393,Urdu,Religion,92,flag,serial,,,"printed digit unclear, read as 92"
39,393,Urdu,Religion,93,flag,serial,,,"printed digit unclear, read as 93"
40,394,Urdu,Religion,95,flag,pp_verbatim,,,printed as 144 with unclear final digit
40,394,Urdu,Religion,100,flag,copies,,,"printed as 300, first digit unclear"
41,395,Urdu,Religion,105,flag,serial,,,"printed digits faint, read as 105"
41,395,Urdu,Religion,107,flag,serial,,,serial number not clearly printed
41,395,Urdu,Religion,108,flag,serial,,,serial number not clearly printed
43,397,Arabic-Urdu,Religion,17,flag,serial,,,serial number obscured by margin marks
45,399,Hindi and Sanskrit,Poetry,,flag,serial,,,illegible
45,399,Hindi and Sanskrit,Poetry,10,flag,serial,,,partially legible
45,399,Hindi and Sanskrit,Religion,11,flag,serial,,,illegible
45,399,Hindi and Sanskrit,Religion,12,flag,serial,,,illegible
45,399,Hindi and Sanskrit,Religion,13,flag,serial,,,illegible
45,399,Hindi and Sanskrit,Religion,14,flag,serial,,,illegible
45,399,Persian and Urdu,Language,15,flag,serial,,,illegible
46,400,Bilingual (Punjabi in the Persian character and Urdu),Poetry,5,flag,copies,,,"printed '5C0', likely 500"
47,401,"Arabic, Urdu and Punjabi",Religion,4,flag,serial,,,printed digit unclear
47,401,"Persian, Punjabi and Urdu",Poetry,4,flag,serial,,,printed digit unclear (appears 4)
47,401,English,Law,14,flag,serial,,,printed digit unclear
48,402,Urdu,Law,12,flag,date,,,year printed as 1911 but reads '1911' unclear
3,357,Hindi,Poetry,15,internal,reg,1533,,registration no. appears 2x in quarter
15,369,Punjabi,Poetry,305,internal,reg,1533,,registration no. appears 2x in quarter
10,364,Punjabi,Poetry,257,internal,reg,1204,,registration no. appears 2x in quarter
42,396,Bilingual (Arabic-Urdu),Religion,11,internal,reg,1204,,registration no. appears 2x in quarter
13,367,Punjabi,Poetry,294,internal,reg,1423,,registration no. appears 2x in quarter
48,402,English,Law,15,internal,reg,1423,,registration no. appears 2x in quarter
14,368,Punjabi,Poetry,298,internal,reg,1314,,registration no. appears 2x in quarter
25,379,Urdu,Fiction,46,internal,reg,1314,,registration no. appears 2x in quarter
35,389,Urdu,Miscellaneous,211,internal,reg,1318,,registration no. appears 2x in quarter
43,397,English and Urdu,Language,2,internal,reg,1318,,registration no. appears 2x in quarter
6,360,Punjabi,Miscellaneous,52,internal,serial,58->67,,non-consecutive serials in Punjabi-Miscellaneous
7,361,Panjabi,Miscellaneous,60,internal,serial,60->63,,non-consecutive serials in Panjabi-Miscellaneous
7,361,Panjabi,Miscellaneous,60,internal,serial,66->80,,non-consecutive serials in Panjabi-Miscellaneous
8,362,Punjabi,Poetry,243,internal,serial,281->292,,non-consecutive serials in Punjabi-Poetry
19,373,Sindhi,Religion,4,internal,serial,4->3,,non-consecutive serials in Sindhi-Religion
21,375,Urdu,Biography,14,internal,serial,15->18,,non-consecutive serials in Urdu-Biography
21,375,Urdu,Biography,14,internal,serial,24->23,,non-consecutive serials in Urdu-Biography
21,375,Urdu,Biography,14,internal,serial,23->27,,non-consecutive serials in Urdu-Biography
28,382,Urdu,Law,11,internal,serial,13->11,,non-consecutive serials in Urdu-Law
30,384,Urdu,Miscellaneous,169,internal,serial,219->211,,non-consecutive serials in Urdu-Miscellaneous
30,384,Urdu,Miscellaneous,169,internal,serial,211->220,,non-consecutive serials in Urdu-Miscellaneous
30,384,Urdu,Miscellaneous,169,internal,serial,220->222,,non-consecutive serials in Urdu-Miscellaneous
