quarter,pdf_page,printed_page,section,lang,char,topic,serial,reg,copies,printer_verbatim,printer,pcity,author,title,title_native,gloss,pp_verbatim,publisher,pubcity,date,price,edition,format,method,educ,copyright,notes,marks,norm_lang,periodical,norm_printer,norm_pcity,norm_publisher,norm_pubcity,pp_sum,flags_json
1910Q1,3,3,ENGLISH—SCIENCE (MATHEMATICAL).,English,,Science (Mathematical),2,379,2000,"Imperial Native Press, Delhi.",Imperial Native Press,Delhi,Girdhari Lal,Algebrical Formulæ for the use of students preparing for the Matriculation Examination,False,Algebrical Formulæ for the use of students preparing for the Matriculation Examination.,77,Author,Hissar,1909-11,5 annas,1st,16°,,Y,"Lala Girdhari Lal, Teacher, Hissar; No. 39, dated the 21st March, 1910.",,,English,,Imperial Native Press,Delhi,Author,Hissar,77,[]
1910Q1,3,3,ENGLISH—SCIENCE (MATHEMATICAL).,English,,Science (Mathematical),3,301,2000,"The Mufid-i-'Am Press, Lahore.",Mufid-i-'Am Press,Lahore,"Tej Ram, Lala, M.A.",Important deductions in the Demonstrative Geometry,False,Important deductions in the Demonstrative Geometry.,"46, 8","The author, Professor, Randhir College, Kapurthala",Kapurthala,1910-02-22,9 annas,1st,8°,,Y,"Lala Tej Ram, M.A., Professor, Randhir College, Kapurthala; No. 33, dated the 21st March, 1910.",,,English,,Mufid-i-Am Press,Lahore,"The author, Professor, Randhir College, Kapurthala",Kapurthala,54,[]
1910Q1,4,4,HINDI—BIOGRAPHY.,Hindi,,Biography,1,277,1000,"The Bombay Press, Lahore.",Bombay Press,Lahore,"Prakash Dev, Shriddheya",Maharshi Narada ji ka Sankshipt Jiwan Charitr,True,"Or a short biography of the Hindu sage Narada who was the author of the Bhakti Sutras or aphorism on the love of God, some quotations from which are given in the book.",15,Author,Lahore,1909-11-14,1 anna,1st,16°,,,,,X (left margin),Hindi,,Bombay Press,Lahore,Author,Lahore,15,[]
1910Q1,4,4,HINDI (URDU CHARACTER)—DRAMA.,Hindi,Urdu,Drama,1,288,500,"Maqbul-i-'Am Press, Rewari.",Maqbul-i-'Am Press,Rewari,"Ali Bakhsh, Raja",Suwang Nal Daman,True,A dramatic adaptation of the Mahabharta episode of Nala and Damyanti.,90,Hakim Sayad Maqbul Husain,Rewari,1909-12-25,"Rs. 2, 4 annas",1st,8°,,,"Hakim Sayad Maqbul Husain, Rewari; No. 28, dated the 24th February, 1910.",Muslim author/publisher (Ali Bakhsh / Hakim Maqbul Husain) staging the Mahabharata's Nala-Damayanti as a swang — cross-tradition popular theatre in Hindi-in-Urdu-script.,,Hindi,,Maqbul-i-'Am Press,Rewari,Hakim Sayad Maqbul Husain,Rewari,90,[]
1910Q1,4,4,HINDI—LANGUAGE.,Hindi,,Language,1,270,5000,"The Punjab Printing Works, Lahore.",Punjab Printing Works,Lahore,"Asha Ram, Lala","Hindi Lipi Shiksha, Pratham Bhag",True,"Or Hindi Copy Slip, Part I.",24,Author,Gurdaspur,1909-12,9 pies,1st,Oblong,,Y,,"Section carries '(Designed for educational purposes.)'. Hindi copybook Part I, 5,000 copies.",,Hindi,,Punjab Printing Works,Lahore,Author,Gurdaspur,24,[]
1910Q1,4,4,HINDI—BIOGRAPHY.,Hindi,,Biography,2,284,1000,Ditto,Bombay Press,Lahore,"Shiv Brit Lal, M.A., Babu",Chittaur ka Shaka,True,"Or the third part of the Bharat ki Shuja aur Alim Striyon ke Karname. This is a biography of the queen of Chittaur, who fought against Akbar the Great for a long time.",65,Bharat Literature Company,Lahore,1909-11-01,"2 annas, 6 pies",1st,16°,,,,Part III of the Bharat ki Shuja aur Alim Striyon ke Karname series (verso index: 'p.4.2 Bharat ke Shya II (H.)') — Rajput queen of Chittor vs Akbar; Hindu heroic-womanhood history.,X (left margin),Hindi,,Bombay Press,Lahore,Bharat Literature Company,Lahore,65,[]
1910Q1,4,4,HINDI (URDU CHARACTER)—DRAMA.,Hindi,Urdu,Drama,2,289,500,Ditto,Maqbul-i-'Am Press,Rewari,"Ali Bakhsh, Raja",Suwang Fasana-i-Ajaib,True,"A dramatic adaptation of the story of Fasana-i-Ajaib of Sarur, of Lucknow.",86,Hakim Sayad Maqbul Husain,Rewari,1909-12-25,"Re. 1, 8 annas",1st,8°,,,"Hakim Sayad Maqbul Husain, Rewari; No. 29, dated the 24th February, 1910.",Author dash-continuation of s1; Rajab Ali Beg Surur's Fasana-i-Ajaib dramatized.,,Hindi,,Maqbul-i-'Am Press,Rewari,Hakim Sayad Maqbul Husain,Rewari,86,[]
1910Q1,4,4,HINDI—LANGUAGE.,Hindi,,Language,2,271,2000,Ditto,Punjab Printing Works,Lahore,"Asha Ram, Lala","Varn Shikshak, Pratham Ank",True,"Or a Hindi Primer, Part I.",24,Author,Gurdaspur,1909-11,6 pies,1st,16°,,Y,,Author dash-continuation of s1.,,Hindi,,Punjab Printing Works,Lahore,Author,Gurdaspur,24,[]
1910Q1,4,4,HINDI (URDU CHARACTER)—DRAMA.,Hindi,Urdu,Drama,3,381,500,Ditto,Maqbul-i-'Am Press,Rewari,"Ali Bakhsh, Raja",Suang Padmawat,True,A drama in which a Hindu princess learns from an astrologer that she would be married to a certain prince with whom she opens negotiations and is ultimately married.,64,"Hakim Sayad Maqbul Husain, Proprietor, Maqbul-i-'Am Press",Rewári,1909-12-25,"Re. 1, 4 annas",1st,8°,,,"Hakim Sayad Maqbul Husain, Rewári; No. 40, dated the 24th February, 1910.","Author dash-continuation of s2; the Padmavat legend as swang. Three swangs registered together (regs 288, 289, 381; copyrights Nos. 28, 29, 40).",,Hindi,,Maqbul-i-'Am Press,Rewari,"Hakim Sayad Maqbul Husain, Proprietor, Maqbul-i-'Am Press",Rewari,64,[]
1910Q1,4,4,HINDI—LANGUAGE.,Hindi,,Language,3,334,2000,Ditto,Punjab Printing Works,Lahore,"Asha Ram, Lala","Varn Shikshak, Dutiya Ank",True,Part II.,25-39,Author,Gurdaspur,1910-02,6 pies,1st,16°,,Y,,Author dash-continuation of s2; primer Part II.,,Hindi,,Punjab Printing Works,Lahore,Author,Gurdaspur,15,[]
1910Q1,5,5,HINDI—MISCELLANEOUS.,Hindi,,Miscellaneous,1,326,400,"The Punjab Printing Works, Lahore.",Punjab Printing Works,Lahore,,Amritsar Pinjra Pol ka Chhama Barshik Vivarn,True,Or the Sixth Annual Report of the Amritsar Cattle Asylum.,41,"Secretary, Pinjra Pol",Amritsar,1910-02,Free,1st,8°,,,,Cattle-asylum (pinjrapol) annual report — Jain/Hindu animal-welfare institution reporting; cow/animal protection infrastructure documented.,,Hindi,,Punjab Printing Works,Lahore,"Secretary, Pinjra Pol",Amritsar,41,[]
1910Q1,5,5,HINDI (IN URDU CHARACTER)—POETRY.,Hindi,Urdu,Poetry,1,157,700,"Rajeshwari Press, Rawalpindi.",Rajeshwari Press,Rawalpindi,Dat Ji,Shri Kanwal Netra,True,A short poem in the praise of Krishna.,8,Balak Ram Anand,Ráwalpindi,1909-12-21,3 pies,1st,16°,litho.,,,Krishna devotional verse in Hindi written in Urdu script.,,Hindi,,Rajeshwari Press,Rawalpindi,Balak Ram Anand,Rawalpindi,8,[]
1910Q1,5,5,HINDI—MISCELLANEOUS.,Hindi,,Miscellaneous,2,337,500,Ditto,Punjab Printing Works,Lahore,,Punjab Sindh Kshetr Rishi Kesh wa Kankhal ki Chhatwin Barshik Report,True,The Sixth Annual Report of the Asylum in Rishi Kesh and Kankhal for Sadhus or Hindu fakirs.,287,"Babu Bhagwan Das, Manager, Rishi Kesh",Rishi Kesh,1910-02,Free,1st,8°,,,,287-page report of the Rishikesh/Kankhal sadhu asylum — Hindu renunciate welfare institution accounting.,,Hindi,,Punjab Printing Works,Lahore,"Babu Bhagwan Das, Manager, Rishi Kesh",Rishi Kesh,287,[]
1910Q1,5,5,HINDI (IN URDU CHARACTER)—POETRY.,Hindi,Urdu,Poetry,2,156,700,Ditto,Rajeshwari Press,Rawalpindi,Narayana Swami,Anurag Ras,True,"A collection of 168 dohas or couplets, didactic and devotional.",34,Balak Ram Anand,Rawalpindi,1909-12-20,1 anna,1st,16°,litho.,,,,X (left margin),Hindi,,Rajeshwari Press,Rawalpindi,Balak Ram Anand,Rawalpindi,34,[]
1910Q1,5,5,HINDI—MISCELLANEOUS.,Hindi,,Miscellaneous,3,285,1000,"The Bombay Press, Lahore.",Bombay Press,Lahore,"Sant Ram, Pandit",Kya Brahman Guru ghar ke Drohi hain,True,"A pamphlet which defends the Brahmans against the Sikh accusation that they were implicated in the death of Guru Arjan and that of Guru Govindh Singh's sons, etc.",30,Author,Lahore,1909-12-23,1 anna,1st,8°,,,,"'Are Brahmans traitors to the Guru's house?' — a Brahman rebuttal of Sikh (Arya/Singh Sabha) accusations over the Gurus' deaths; direct Hindu–Sikh boundary polemic, homogenization-dynamics data point.",X (left margin),Hindi,,Bombay Press,Lahore,Author,Lahore,30,[]
1910Q1,5,5,HINDI—POETRY.,Hindi,,Poetry,3,233,2000,"The Punjab Economical Press, Lahore.",Punjab Economical Press,Lahore,,Jain Bhajan Sangrah,True,Or a collection of short religious Jain songs.,16,Bal Chandr,Jaipur,1910-01-15,9 pies,1st,16°,,,,Serial continues Hindi—Poetry across the Urdu-character subsection (s1–2 above were Hindi in Urdu character; s3 resumes Nagari). Jain devotional songbook from Jaipur. Dual date: 1966 Bikrami / 1910 A.D.,,Hindi,,Punjab Economical Press,Lahore,Bal Chandr,Jaipur,16,[]
1910Q1,5,5,HINDI—MISCELLANEOUS.,Hindi,,Miscellaneous,4,275,1000,Ditto,Bombay Press,Lahore,Shri Nath Chandar,Bharat Milap,True,"Or the story of Bharat's visit to Ram Chandra in the forest after the death of Dashrath, translated from Bengali by S. Prakash Dev of the Lahore Brahmo Samaj.",84,The translator,Lahore,1909-11-04,4 annas,1st,16°,,,,Ramayana episode translated Bengali→Hindi by a Brahmo Samaj member. Dated Brahmo Samvat 80.,,Hindi,,Bombay Press,Lahore,The translator,Lahore,84,[]
1910Q1,5,5,HINDI—MISCELLANEOUS.,Hindi,,Miscellaneous,5,335,1000,"The Punjab Printing Works, Lahore.",Punjab Printing Works,Lahore,"Viddiya Ratn, Pandit",Punjab Bhugol,True,Or a Geography of the Punjab.,42,Kanniya Maha Viddiyalaya,Jullundur,1910-02,"2 annas, 3 pies",1st,16°,,Y,,"'(Designed for educational purposes.)' printed above entry. Geography of the Punjab from the Kanya Mahavidyalaya (the pioneering Arya Samaj girls' school), Jullundur.",,Hindi,,Punjab Printing Works,Lahore,Kanniya Maha Viddiyalaya,Jullundur,42,[]
1910Q1,6,6,HINDI—RELIGION.,Hindi,,Religion,1,279,2000,"The Bombay Press, Lahore.",Bombay Press,Lahore,,Dhundhak Mat Parajaya,True,"Or an account of two religious discussions between the Jaini Sadhus and Dhundhyas, a reformed sect of the Jains, in which the latter are said to have been defeated.",24,Seth Hira Chand Sacheti,,1909-11-04,Free,4th,8°,,,,"Intra-Jain sectarian polemic (murtipujak vs Dhundhia/Sthanakvasi) — the smallest community's internal boundary disputes also in print. Triple date: Vir Samvat 2435, Atam Samvat 14, Bikram Samvat 1966.",,Hindi,,Bombay Press,Lahore,Seth Hira Chand Sacheti,,24,[]
1910Q1,6,6,HINDI—SCIENCE (MATHEMATICAL).,Hindi,,Science (Mathematical),1,278,3000,"The Bombay Press, Lahore.",Bombay Press,Lahore,"Devi Dayal and Shiw Dayal, Lalas","Ganit Pustak, Pahla Bhag",True,An Arithmetic Book for the Lower Primary classes.,200,Attar Chand Kapur and Sons,Lahore,1909-11-18,"4 annas, 3 pies",1st,16°,,Y,,Section carries '(Designed for educational purposes.)'.,,Hindi,,Bombay Press,Lahore,Attar Chand Kapur and Sons,Lahore,200,[]
1910Q1,6,6,PUNJABI—BIOGRAPHY.,Punjabi,,Biography,1,310,1000,"Punjab Educational Printing Works, Lahore.",Punjab Educational Printing Works,Lahore,"Shiv Brat Lal, M.A.","Punjabi Surma, Pahila Bhag",True,A brief account of the ten Sikh Gurus and their sufferings rendered from Shiv Brat Lal's Urdu original into Punjabi by Bhai Arur Singh.,416,"Lala Ram Ditta Mal, Book-seller",Lahore,1910-02-25,12 annas,1st,16°,,,,"verso index: 'p.6.1-2 Panjabi Surma 1-2'. 416-page Sikh Gurus history, Urdu→Punjabi; same Shiv Brat Lal (Radhasoami figure) who edits the Sadhu Magazine (1910Q4 s4).",X (left margin),Punjabi,,Punjab Educational Printing Works,Lahore,"Lala Ram Ditta Mal, Book-seller",Lahore,416,[]
1910Q1,6,6,PUNJABI—BIOGRAPHY.,Punjabi,,Biography,2,269,1000,"Khalsa Press, Lahore.",Khalsa Press,Lahore,"Shiv Brat Lal, M.A.","Punjabi Surma, Part II",True,An account of the courage and pluck exhibited by the Sikhs and the sufferings and persecution undergone by them for the sake of their religion.,240,"The Bharat Literature Company, Limited",,1909-11-29,8 annas,1st,16°,,,,Author dash-continuation of s1; Part II.,X (left margin),Punjabi,,Khalsa Press,Lahore,"The Bharat Literature Company, Limited",,240,[]
1910Q1,6,6,HINDI—POETRY.—concluded.,Hindi,,Poetry,4,283,1000,"The Bombay Press, Lahore.",Bombay Press,Lahore,Draupadi Devi,Nari Sudhar Bhajanawali,True,Or a collection of moral and religious songs for women.,51,Pandit Sant Ram,Lahore,1909-11-27,1 anna,1st,32°,,,,Women's moral-reform songbook by a woman author (Draupadi Devi) — female-authored reform verse.,X (left margin),Hindi,,Bombay Press,Lahore,Pandit Sant Ram,Lahore,51,[]
1910Q1,6,6,HINDI—POETRY.—concluded.,Hindi,,Poetry,5,340,2000,Ditto,Bombay Press,Lahore,"Chuni Lal, Khanna",Mukammal Gulzar Bhajan,True,Or a collection of short religious songs.,124,Mehta Anand Kishore Brothers,Lahore,1910-02-08,2 annas,5th,32°,,,,Bracket note: previous edition noticed in entry No. 44 at page 9 of the catalogue for the quarter ending the 31st December 1906.,,Hindi,,Bombay Press,Lahore,Mehta Anand Kishore Brothers,Lahore,124,[]
1910Q1,6,6,HINDI—POETRY.—concluded.,Hindi,,Poetry,6,272,2000,"The Punjab Printing Works, Lahore.",Punjab Printing Works,Lahore,"Dev Raj, Lala",Balodyan Sangit ki Pahili Kyari,True,"Or Kindergarten Songs, Part I.",15,Author,Jullundur,1909-11,9 pies,2nd,8°,,Y,,'(Designed for educational purposes.)' printed above entry. Kindergarten songbook — Froebelian pedagogy in Hindi; note the music-pedagogy thread (cf. 1910Q4 harmonium material).,,Hindi,,Punjab Printing Works,Lahore,Author,Jullundur,15,[]
1910Q1,6,6,HINDI—POETRY.—concluded.,Hindi,,Poetry,7,273,2000,Ditto,Punjab Printing Works,Lahore,"Dev Raj, Lala",Balodyan Sangit,True,Or Kindergarten Songs.,42,Author,,1909-12,"3 annas, 6 pies",3rd,8°,,,,"Author dash-continuation of s6. verso index: 'p.6.1-2 Panjabi Surma' refers to the Punjabi—Biography entries below, not these.",,Hindi,,Punjab Printing Works,Lahore,Author,,42,[]
1910Q1,7,7,PUNJABI—FICTION.,Punjabi,,Fiction,1,38,1100,"Wazir-i-Hind Press, Amritsar.",Wazir-i-Hind Press,Amritsar,Dewki Nandan,"Chandr Kanta, Hissa Duja",True,"Part II of the publication noticed in entry No. 4 in the catalogue for the quarter ending the 31st December, 1909.",132,B. Sundar Singh,Amritsar,1909-11-12,8 annas,1st,16°,,,,"Devaki Nandan Khatri's Chandrakanta (Hindi tilism-fiction bestseller) in Punjabi, Part II. verso index: '7.2-3 Chandrakanta 2-3'.",X (left margin),Punjabi,,Wazir-i-Hind Press,Amritsar,B. Sundar Singh,Amritsar,132,[]
1910Q1,7,7,PUNJABI—FICTION.,Punjabi,,Fiction,2,116,1100,Ditto,Wazir-i-Hind Press,Amritsar,Dewki Nandan,"Chandr Kanta, Part III",True,Part III.,128,B. Sundar Singh,Amritsar,1910-01-25,8 annas,1st,16°,,,,Author dash-continuation of s1; Part III. Bracket note: Part I noticed in entry No. 4 on page 8 of the catalogue for the quarter ending the 31st December 1909.,X (left margin),Punjabi,,Wazir-i-Hind Press,Amritsar,B. Sundar Singh,Amritsar,128,[]
1910Q1,7,7,PUNJABI—FICTION.,Punjabi,,Fiction,3,108,10500,Ditto,Wazir-i-Hind Press,Amritsar,,Jarwanian ton Nirmanian da Nistara,True,"Story of a young girl and her old grandfather, both of whom had great faith in Guru Gobind Singh, the 10th Sikh Guru, and were helped by him when they were attacked by robbers.",36,Khalsa Tract Society,Amritsar,1910-01-12,9 pies,1st,16°,,,,"Khalsa Tract Society mass-printing at 10,500 copies — one of the largest runs of the quarter; Sikh devotional-adventure tract.",X (left margin),Punjabi,,Wazir-i-Hind Press,Amritsar,Khalsa Tract Society,Amritsar,36,[]
1910Q1,7,7,PUNJABI—FICTION.,Punjabi,,Fiction,4,47,1800,Ditto,Wazir-i-Hind Press,Amritsar,,"Robinson Crusoe da Britant, Bhag 1, Tract No. 363",True,The story of Robinson Crusoe in Punjabi.,64,Khalsa Tract Society,Amritsar,1909-11-27,1 anna,1st,16°,,,,Robinson Crusoe as a Khalsa Tract Society tract (No. 363) — Defoe entering the Sikh reform tract series; verso index: '4-7 Robinson Crusoe da Vollant 1-4'.,X (left margin),Punjabi,,Wazir-i-Hind Press,Amritsar,Khalsa Tract Society,Amritsar,64,[]
1910Q1,7,7,PUNJABI—FICTION.,Punjabi,,Fiction,5,105,1800,Ditto,Wazir-i-Hind Press,Amritsar,,"Robinson Crusoe da Britant, Tract No. 364",True,Tract No. 364.,48,Khalsa Tract Society,Amritsar,1910-01-09,9 pies,1st,16°,,,,Dash-continuation of s4; Robinson Crusoe tract 2 of 4.,X (left margin),Punjabi,,Wazir-i-Hind Press,Amritsar,Khalsa Tract Society,Amritsar,48,[]
1910Q1,7,7,PUNJABI—FICTION.,Punjabi,,Fiction,6,106,1800,Ditto,Wazir-i-Hind Press,Amritsar,,"Robinson Crusoe da Britant, Tract No. 366",True,Tract No. 366.,48,Khalsa Tract Society,Amritsar,1910-01-10,9 pies,1st,16°,,,,Dash-continuation; Robinson Crusoe tract 3.,X (left margin),Punjabi,,Wazir-i-Hind Press,Amritsar,Khalsa Tract Society,Amritsar,48,[]
1910Q1,7,7,PUNJABI—FICTION.,Punjabi,,Fiction,7,107,1800,Ditto,Wazir-i-Hind Press,Amritsar,,"Robinson Crusoe da Britant, Tract No. 367",True,Tract No. 367.,48,Khalsa Tract Society,Amritsar,1910-01-11,9 pies,1st,16°,,,,"Dash-continuation; Robinson Crusoe tract 4 of 4 (regs 47, 105–107).",X (left margin),Punjabi,,Wazir-i-Hind Press,Amritsar,Khalsa Tract Society,Amritsar,48,[]
1910Q1,7,7,PUNJABI—FICTION.,Punjabi,,Fiction,8,46,1800,Ditto,Wazir-i-Hind Press,Amritsar,,"Saphal Gur Purb, Tract No. 362",True,The story of a Sikh lady who through her religious education corrected and brought back to the Sikh faith her brother who had become a renegade.,66,Khalsa Tract Society,Amritsar,1909-11-26,"1 anna, 3 pies",1st,16°,,,,Reconversion-narrative tract — the shuddhi/renegade theme in Sikh reform fiction.,X (left margin),Punjabi,,Wazir-i-Hind Press,Amritsar,Khalsa Tract Society,Amritsar,66,[]
1910Q1,7,7,PUNJABI—FICTION.,Punjabi,,Fiction,9,45,1800,Ditto,Wazir-i-Hind Press,Amritsar,,"Suadal Sikhia, Tract No. 361",True,A collection of stories.,48,Khalsa Tract Society,Amritsar,1909-11-25,9 pies,1st,16°,,,,,X (left margin),Punjabi,,Wazir-i-Hind Press,Amritsar,Khalsa Tract Society,Amritsar,48,[]
1910Q1,7,7,PUNJABI—FICTION.,Punjabi,,Fiction,10,23,1000,"Siri Garmat Press, Amritsar.",Sri Gurmat Press,Amritsar,"Sundar Singh, Bhai, Khushdil",Radhan arthat chhoti nunh de Pavitr Jiwan da kujhk hal,True,"The story of a girl who was married to a rich man's son, but was not admitted into her father-in-law's house on account of the poverty of her old mother. After a series of adventures she gets admission to her husband's house where she proves a very useful member of her father-in-law's family.",173,"Bhai Chatar Singh Jiwan Singh, Book-sellers",Amritsar,1909-12-11,8 annas,1st,16°,,,,Reg 23. Printer 'Siri Garmat' = Sri Gurmat Press.,,Punjabi,,Sri Gurmat Press,Amritsar,"Bhai Chatar Singh Jiwan Singh, Book-sellers",Amritsar,173,[]
